cliente_id,cliente,porte,regiao,cidade
1,Pereira,Medio,Nordeste,Rocha da Prata
2,Aparecida,Pequeno,Norte,Alves do Campo
3,Nascimento,Medio,Sudeste,Cavalcanti Verde
4,Garcia S/A,Medio,Sul,Andrade do Campo
5,Pires,Medio,Sul,Ferreira Alegre
6,Oliveira,Medio,Sudeste,Pereira do Galho
7,Santos Azevedo S/A,Medio,Sul,Gomes
8,Vargas da Rocha S/A,Pequeno,Centro-Oeste,da Cunha
9,Brito Garcia Ltda.,Pequeno,Sul,Santos
10,Porto,Pequeno,Sudeste,Abreu do Galho
11,Castro,Pequeno,Centro-Oeste,Fonseca
12,Fogaça,Pequeno,Centro-Oeste,Azevedo Alegre
13,Rios da Mata e Filhos,Medio,Sul,Ribeiro do Campo
14,Pereira e Filhos,Pequeno,Nordeste,Montenegro da Mata
15,Nascimento Siqueira S.A.,Pequeno,Centro-Oeste,Duarte das Flores
16,Martins Garcia Ltda.,Pequeno,Centro-Oeste,Novaes Grande
17,Rodrigues Duarte S/A,Pequeno,Sul,Leão
18,Andrade Dias - ME,Medio,Sul,Rocha da Serra
19,Azevedo,Medio,Norte,Guerra da Prata
20,Nunes Silva Ltda.,Medio,Sudeste,da Rosa
21,Rezende Monteiro - ME,Medio,Sudeste,Costela das Pedras
22,Casa Grande,Pequeno,Sudeste,Martins dos Dourados
23,Carvalho,Medio,Centro-Oeste,Rocha de Cunha
24,Souza Novais - EI,Pequeno,Norte,Vieira de Vieira
25,Souza,Pequeno,Sudeste,Ribeiro
26,Pacheco,Pequeno,Norte,da Paz
27,Fonseca,Medio,Sul,Borges de Goiás
28,Carvalho Moraes - ME,Pequeno,Sudeste,Câmara do Oeste
29,Sá S/A,Pequeno,Centro-Oeste,Alves
30,Cassiano e Filhos,Pequeno,Sul,da Cruz
31,Vieira Rodrigues - ME,Pequeno,Sul,Pimenta de Vargas
32,Gomes - ME,Medio,Sudeste,Marques
33,Moura,Pequeno,Norte,Pires Verde
34,Novaes,Pequeno,Centro-Oeste,Silva
35,Rodrigues e Filhos,Pequeno,Norte,Monteiro das Flores
36,Rodrigues - EI,Medio,Nordeste,Casa Grande
37,Vargas,Pequeno,Sudeste,Sá
38,Camargo,Pequeno,Nordeste,Vasconcelos
39,Lopes,Pequeno,Sul,Câmara da Serra
40,Marques Abreu e Filhos,Grande,Sul,Aragão de Novais
41,Montenegro,Grande,Nordeste,Campos
42,Montenegro Caldeira e Filhos,Medio,Nordeste,Carvalho de Martins
43,Porto,Pequeno,Sudeste,Sá dos Dourados
44,Cassiano Freitas S.A.,Grande,Sudeste,Novaes dos Dourados
45,Peixoto Ltda.,Medio,Centro-Oeste,Souza
46,Almeida,Medio,Nordeste,Machado de da Luz
47,Fonseca Ltda.,Pequeno,Centro-Oeste,Porto
48,Araújo da Costa - EI,Pequeno,Sudeste,Vargas do Galho
49,Barros e Filhos,Pequeno,Sudeste,Pires de da Costa
50,Azevedo,Grande,Sudeste,Macedo de Minas
51,Cardoso Ribeiro - ME,Pequeno,Centro-Oeste,da Costa Paulista
52,da Luz Moura - EI,Pequeno,Nordeste,Dias da Prata
53,Cunha,Pequeno,Sudeste,Carvalho
54,Silva das Neves - ME,Medio,Sudeste,da Conceição
55,Macedo,Pequeno,Sudeste,Sales Grande
56,Campos,Medio,Centro-Oeste,Azevedo
57,Câmara Azevedo Ltda.,Medio,Nordeste,Jesus Alegre
58,Pastor - EI,Medio,Sul,Leão de Araújo
59,Pastor Câmara S/A,Pequeno,Sul,Leão
60,Santos e Filhos,Medio,Centro-Oeste,Vargas Verde
