venda_id,data,produto_id,cliente_id,vendedor_id,regiao,quantidade,desconto_pct,receita_bruta,receita_liquida,custo_total,margem
1,2023-09-01,3,45,4,Centro-Oeste,5,0.06,4429.3,4163.54,2399.45,1764.09
31,2023-09-01,15,55,8,Sudeste,5,0.014,2149.45,2119.36,1051.55,1067.81
32,2023-09-01,6,38,3,Nordeste,5,0.07,3986.0,3706.98,2053.95,1653.03
33,2023-09-01,12,119,8,Sudeste,37,0.127,15151.13,13226.94,8109.29,5117.65
34,2023-09-01,20,121,3,Nordeste,29,0.003,7438.5,7416.18,4205.87,3210.31
35,2023-09-01,22,1,6,Nordeste,6,0.077,559.14,516.09,392.7,123.39
36,2023-09-01,12,85,13,Centro-Oeste,1,0.006,409.49,407.03,219.17,187.86
37,2023-09-01,5,90,12,Sul,2,0.039,388.32,373.18,248.9,124.28
38,2023-09-01,2,53,8,Sudeste,2,0.009,518.94,514.27,291.14,223.13
39,2023-09-01,21,66,1,Sul,5,0.079,2179.75,2007.55,1044.15,963.4
40,2023-09-01,10,111,15,Sudeste,3,0.085,334.35,305.93,237.48,68.45
41,2023-09-01,5,53,8,Sudeste,5,0.093,970.8,880.52,622.25,258.27
42,2023-09-01,20,10,15,Sudeste,2,0.057,513.0,483.76,290.06,193.7
43,2023-09-01,12,53,8,Sudeste,2,0.096,818.98,740.36,438.34,302.02
44,2023-09-01,17,36,5,Nordeste,12,0.059,2489.16,2342.3,1572.96,769.34
46,2023-09-01,23,33,7,Norte,6,0.095,1656.9,1499.49,987.6,511.89
47,2023-09-01,8,21,8,Sudeste,7,0.098,1998.71,1802.84,1224.51,578.33
48,2023-09-01,19,138,14,Centro-Oeste,16,0.074,1670.08,1546.49,1115.2,431.29
49,2023-09-01,8,19,7,Norte,4,0.032,1142.12,1105.57,699.72,405.85
50,2023-09-01,5,99,3,Nordeste,15,0.039,2912.4,2798.82,1866.75,932.07
51,2023-09-01,10,101,6,Nordeste,2,0.094,222.9,201.95,158.32,43.63
52,2023-09-01,2,87,12,Sul,6,0.047,1556.82,1483.65,873.42,610.23
53,2023-09-01,13,128,15,Sudeste,5,0.006,497.9,494.91,363.9,131.01
54,2023-09-01,12,1,5,Nordeste,12,0.028,4913.88,4776.29,2630.04,2146.25
55,2023-09-01,2,43,15,Sudeste,4,0.01,1037.88,1027.5,582.28,445.22
56,2023-09-01,11,26,7,Norte,3,0.03,476.79,462.49,284.55,177.94
30,2023-09-01,6,20,8,Sudeste,11,0.05,8769.2,8330.74,4518.69,3812.05
29,2023-09-01,11,59,10,Sul,3,0.066,476.79,445.32,284.55,160.77
45,2023-09-01,2,54,8,Sudeste,13,0.046,3373.11,3217.95,1892.41,1325.54
27,2023-09-01,16,25,15,Sudeste,4,0.028,232.6,226.09,162.48,63.61
28,2023-09-01,10,44,16,Sudeste,35,0.046,3900.75,3721.32,2770.6,950.72
2,2023-09-01,21,125,5,Nordeste,16,0.084,6975.2,6389.28,3341.28,3048.0
